release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili,date,location,location_name
2017-10-24,NH,201740,201540,104,4,4827,22,,,,,,,0.0828672,0.0828672,2015-10-10,33,New Hampshire
2017-10-24,NJ,201740,201540,104,98,10926,23,,,,,,,0.896943,0.896943,2015-10-10,34,New Jersey
2017-10-24,NM,201740,201540,104,109,11221,26,,,,,,,0.971393,0.971393,2015-10-10,35,New Mexico
2017-10-24,NV,201740,201540,104,83,13205,28,,,,,,,0.62855,0.62855,2015-10-10,32,Nevada
2017-10-24,OH,201740,201540,104,97,17806,67,,,,,,,0.54476,0.54476,2015-10-10,39,Ohio
2017-10-24,OK,201740,201540,104,57,6083,28,,,,,,,0.937038,0.937038,2015-10-10,40,Oklahoma
2017-10-24,OR,201740,201540,104,27,4429,15,,,,,,,0.609618,0.609618,2015-10-10,41,Oregon
2017-10-24,PA,201740,201540,104,203,15537,54,,,,,,,1.30656,1.30656,2015-10-10,42,Pennsylvania
2017-10-24,RI,201740,201540,104,6,5451,16,,,,,,,0.110072,0.110072,2015-10-10,44,Rhode Island
2017-10-24,SC,201740,201540,104,19,3520,11,,,,,,,0.539773,0.539773,2015-10-10,45,South Carolina
2017-10-24,SD,201740,201540,104,92,9369,34,,,,,,,0.981962,0.981962,2015-10-10,46,South Dakota
2017-10-24,TN,201740,201540,104,72,9801,53,,,,,,,0.734619,0.734619,2015-10-10,47,Tennessee
2017-10-24,TX,201740,201540,104,1016,32002,126,,,,,,,3.1748,3.1748,2015-10-10,48,Texas
2017-10-24,UT,201740,201540,104,206,19475,44,,,,,,,1.05777,1.05777,2015-10-10,49,Utah
2017-10-24,VA,201740,201540,104,1197,89331,128,,,,,,,1.33996,1.33996,2015-10-10,51,Virginia
2017-10-24,VT,201740,201540,104,5,2247,7,,,,,,,0.222519,0.222519,2015-10-10,50,Vermont
2017-10-24,WA,201740,201540,104,32,7245,47,,,,,,,0.441684,0.441684,2015-10-10,53,Washington
2017-10-24,WI,201740,201540,104,134,7068,23,,,,,,,1.89587,1.89587,2015-10-10,55,Wisconsin
2017-10-24,WV,201740,201540,104,184,17942,50,,,,,,,1.02553,1.02553,2015-10-10,54,West Virginia
2017-10-24,WY,201740,201540,104,19,4542,21,,,,,,,0.418318,0.418318,2015-10-10,56,Wyoming
2017-10-24,AK,201740,201541,103,20,1705,8,,,,,,,1.17302,1.17302,2015-10-17,02,Alaska
2017-10-24,AL,201740,201541,103,258,10369,28,,,,,,,2.48819,2.48819,2015-10-17,01,Alabama
2017-10-24,AR,201740,201541,103,35,4051,15,,,,,,,0.863984,0.863984,2015-10-17,05,Arkansas
2017-10-24,AZ,201740,201541,103,360,24881,54,,,,,,,1.44689,1.44689,2015-10-17,04,Arizona
2017-10-24,CA,201740,201541,103,653,41696,138,,,,,,,1.5661,1.5661,2015-10-17,06,California
2017-10-24,CO,201740,201541,103,23,3708,6,,,,,,,0.62028,0.62028,2015-10-17,08,Colorado
2017-10-24,CT,201740,201541,103,49,6083,16,,,,,,,0.805524,0.805524,2015-10-17,09,Connecticut
2017-10-24,DC,201740,201541,103,1,918,1,,,,,,,0.108932,0.108932,2015-10-17,11,District of Columbia
2017-10-24,DE,201740,201541,103,1,4242,16,,,,,,,0.0235738,0.0235738,2015-10-17,10,Delaware
2017-10-24,GA,201740,201541,103,360,30726,30,,,,,,,1.17165,1.17165,2015-10-17,13,Georgia
2017-10-24,HI,201740,201541,103,35,1955,20,,,,,,,1.79028,1.79028,2015-10-17,15,Hawaii
2017-10-24,IA,201740,201541,103,8,2783,10,,,,,,,0.28746,0.28746,2015-10-17,19,Iowa
2017-10-24,ID,201740,201541,103,10,2821,9,,,,,,,0.354484,0.354484,2015-10-17,16,Idaho
2017-10-24,IL,201740,201541,103,908,51632,80,,,,,,,1.7586,1.7586,2015-10-17,17,Illinois
2017-10-24,IN,201740,201541,103,79,6755,30,,,,,,,1.1695,1.1695,2015-10-17,18,Indiana
2017-10-24,KS,201740,201541,103,78,7602,35,,,,,,,1.02605,1.02605,2015-10-17,20,Kansas
2017-10-24,KY,201740,201541,103,78,25343,27,,,,,,,0.307777,0.307777,2015-10-17,21,Kentucky
2017-10-24,MA,201740,201541,103,134,20815,43,,,,,,,0.643767,0.643767,2015-10-17,25,Massachusetts
2017-10-24,MD,201740,201541,103,63,7949,30,,,,,,,0.792553,0.792553,2015-10-17,24,Maryland
2017-10-24,ME,201740,201541,103,50,5595,28,,,,,,,0.893655,0.893655,2015-10-17,23,Maine
2017-10-24,MI,201740,201541,103,172,25206,70,,,,,,,0.682377,0.682377,2015-10-17,26,Michigan
2017-10-24,MN,201740,201541,103,60,5125,16,,,,,,,1.17073,1.17073,2015-10-17,27,Minnesota
2017-10-24,MO,201740,201541,103,102,8072,16,,,,,,,1.26363,1.26363,2015-10-17,29,Missouri
2017-10-24,MS,201740,201541,103,473,18393,53,,,,,,,2.57163,2.57163,2015-10-17,28,Mississippi
2017-10-24,MT,201740,201541,103,3,2725,8,,,,,,,0.110092,0.110092,2015-10-17,30,Montana
2017-10-24,US,201740,201541,103,10715,809660,1976,3016.0,4007.0,,2102.0,912.0,678.0,1.31066,1.3234,2015-10-17,US,US
2017-10-24,NC,201740,201541,103,196,15209,50,,,,,,,1.28871,1.28871,2015-10-17,37,North Carolina
2017-10-24,ND,201740,201541,103,3,1421,10,,,,,,,0.211119,0.211119,2015-10-17,38,North Dakota
2017-10-24,NE,201740,201541,103,16,3542,16,,,,,,,0.451722,0.451722,2015-10-17,31,Nebraska
2017-10-24,NH,201740,201541,103,7,3943,21,,,,,,,0.17753,0.17753,2015-10-17,33,New Hampshire
2017-10-24,NJ,201740,201541,103,23,3781,14,,,,,,,0.608305,0.608305,2015-10-17,34,New Jersey
2017-10-24,NM,201740,201541,103,112,12350,27,,,,,,,0.906883,0.906883,2015-10-17,35,New Mexico
2017-10-24,NV,201740,201541,103,54,13569,27,,,,,,,0.397966,0.397966,2015-10-17,32,Nevada
2017-10-24,OH,201740,201541,103,123,18904,68,,,,,,,0.650656,0.650656,2015-10-17,39,Ohio
2017-10-24,OK,201740,201541,103,130,6006,28,,,,,,,2.1645,2.1645,2015-10-17,40,Oklahoma
2017-10-24,OR,201740,201541,103,41,4608,16,,,,,,,0.889757,0.889757,2015-10-17,41,Oregon
2017-10-24,PA,201740,201541,103,228,15125,53,,,,,,,1.50744,1.50744,2015-10-17,42,Pennsylvania
2017-10-24,RI,201740,201541,103,7,4799,16,,,,,,,0.145864,0.145864,2015-10-17,44,Rhode Island
